route_id,direction_id,service_id,idle_time_average
402,1,SAB,26.25
402,1,UTEIS,16.40625
403,0,DOM,51.07142857142857
403,0,SAB,37.5
403,0,UTEIS,37.5
403,1,DOM,53.57142857142857
403,1,SAB,37.5
403,1,UTEIS,37.5
404,0,DOM,25.5
404,0,SAB,30.0
404,0,UTEIS,20.192307692307693
404,1,DOM,26.153846153846153
404,1,SAB,30.0
404,1,UTEIS,20.64
4M,0,DOM,60.0
4M,0,SAB,60.0
4M,0,UTEIS,60.0
4M,1,DOM,60.0
4M,1,SAB,60.0
4M,1,UTEIS,60.0
500,0,DOM,20.8
500,0,SAB,20.0
500,0,UTEIS,16.50793650793651
500,1,DOM,20.88235294117647
500,1,SAB,20.48076923076923
500,1,UTEIS,17.459016393442624
501,0,DOM,48.80952380952381
501,0,SAB,37.96296296296296
501,0,UTEIS,27.7027027027027
501,1,DOM,47.857142857142854
501,1,SAB,36.42857142857143
501,1,UTEIS,29.142857142857142
502,0,DOM,28.64864864864865
502,0,SAB,25.853658536585368
502,0,UTEIS,16.307692307692307
502,1,DOM,27.487179487179485
502,1,SAB,24.930232558139537
502,1,UTEIS,15.314285714285715
503,0,DOM,61.5625
503,0,SAB,50.5
503,0,UTEIS,34.827586206896555
503,1,DOM,63.125
503,1,SAB,51.75
503,1,UTEIS,35.689655172413794
504,0,DOM,31.818181818181817
504,0,SAB,27.05128205128205
504,0,UTEIS,23.444444444444443
504,1,DOM,31.029411764705884
504,1,SAB,27.17948717948718
504,1,UTEIS,24.651162790697676
505,0,DOM,62.1875
505,0,SAB,49.75
505,0,UTEIS,36.851851851851855
505,1,DOM,61.1764705882353
505,1,SAB,49.523809523809526
505,1,UTEIS,37.142857142857146
506,0,DOM,41.4
506,0,SAB,41.2
506,0,UTEIS,29.285714285714285
506,1,DOM,41.4
506,1,SAB,39.80769230769231
506,1,UTEIS,30.441176470588236
507,0,DOM,42.5
507,0,SAB,42.5
507,0,UTEIS,31.666666666666668
507,1,DOM,41.6
507,1,SAB,41.6
507,1,UTEIS,28.88888888888889
508,0,DOM,41.6
508,0,SAB,36.607142857142854
508,0,UTEIS,21.666666666666668
508,1,DOM,41.6
508,1,SAB,37.142857142857146
508,1,UTEIS,22.608695652173914
5M,0,DOM,60.0
5M,0,SAB,60.0
5M,0,UTEIS,60.0
5M,1,DOM,60.0
5M,1,SAB,60.0
5M,1,UTEIS,60.0
600,0,DOM,24.651162790697676
600,0,SAB,20.980392156862745
600,0,UTEIS,12.0
600,1,DOM,23.304347826086957
600,1,SAB,20.09259259259259
600,1,UTEIS,11.302083333333334
601,0,DOM,44.791666666666664
601,0,SAB,44.791666666666664
601,0,UTEIS,32.878787878787875
